13:55:32 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782244, 'timeout': 20}" and files "None"
13:55:33 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782244,\n"message":{"message_id":130,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709732,"text":"\\u0410\\u0430"}}]}'"
13:55:33 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:33 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿‡'}" and files "None"
13:55:33 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782245, 'timeout': 20}" and files "None"
13:55:33 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":131,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709733,"text":"\\u0410\\u0430"}}'"
13:55:33 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782245,\n"message":{"message_id":132,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709733,"text":"\\u0410"}}]}'"
13:55:33 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:33 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿'}" and files "None"
13:55:33 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782246, 'timeout': 20}" and files "None"
13:55:33 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":133,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709733,"text":"\\u0410"}}'"
13:55:34 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782246,\n"message":{"message_id":134,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709734,"text":"\\u0410\\u0430"}}]}'"
13:55:34 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:34 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿‡'}" and files "None"
13:55:34 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782247, 'timeout': 20}" and files "None"
13:55:34 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":135,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709734,"text":"\\u0410\\u0430"}}'"
13:55:35 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":137782247,\n"message":{"message_id":136,"from":{"id":1337138335,"is_bot":false,"first_name":"Tap1","language_code":"ru"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709734,"text":"\\u0410\\u0430"}}]}'"
13:55:35 | DEBUG | start_polling: 395 | Received 1 updates.
13:55:35 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 1337138335, 'text': '¿‡'}" and files "None"
13:55:35 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 137782248, 'timeout': 20}" and files "None"
13:55:35 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":137,"from":{"id":5465904287,"is_bot":true,"first_name":"test","username":"test_Dorty_bot"},"chat":{"id":1337138335,"first_name":"Tap1","type":"private"},"date":1657709735,"text":"\\u0410\\u0430"}}'"
